op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
FULLY_CONNECTED,664,38272.0,0.029604554,-0.00016306333,0.11410319,0.00087660295,0.0964805,-6,multi_headed_attention_1/dense_7/Tensordot/MatMul1
RESHAPE,668,38272.0,0.0,0.0,0.0,0.0,0.0964805,-6,multi_headed_attention_1/dense_7/Tensordot
ADD,672,38272.0,0.026757834,0.00049228687,0.04835964,0.00071629544,0.09617606,-6,multi_headed_attention_1/dense_7/BiasAdd
RESHAPE,679,38272.0,0.0,0.0,0.0,0.0,0.09617606,-6,multi_headed_attention_1/Reshape_1
TRANSPOSE,683,38272.0,0.0,0.0,0.0,0.0,0.09617606,-6,multi_headed_attention_1/transpose_1
BATCH_MATMUL,687,178802.0,2.6983564,0.009015149,16.73936,7.2844706,9.317308,2,multi_headed_attention_1/dot_product_attention_1/MatMul
MUL,691,178802.0,1.8528385e-06,-2.5899593e-07,1.8075043e-05,3.5658963e-12,0.8235414,2,multi_headed_attention_1/dot_product_attention_1/truediv;multi_headed_attention_1/dot_product_attention_1/Sqrt
SOFTMAX,695,178802.0,0.00021817899,-1.3556272e-05,0.0039061115,4.8486626e-08,0.00390625,-128,multi_headed_attention_1/dot_product_attention_1/Softmax
FULLY_CONNECTED,699,38272.0,0.024217527,0.00021866684,0.10161987,0.0005865961,0.07872617,2,multi_headed_attention_1/dense_8/Tensordot/MatMul1
RESHAPE,703,38272.0,0.0,0.0,0.0,0.0,0.07872617,2,multi_headed_attention_1/dense_8/Tensordot
ADD,707,38272.0,0.020752184,-0.00025832962,0.042888157,0.0004307199,0.07872826,1,multi_headed_attention_1/dense_8/BiasAdd
RESHAPE,714,38272.0,0.0,0.0,0.0,0.0,0.07872826,1,multi_headed_attention_1/Reshape_2
TRANSPOSE,718,38272.0,0.0,0.0,0.0,0.0,0.07872826,1,multi_headed_attention_1/transpose_2
BATCH_MATMUL,722,38272.0,0.021845497,4.9960137e-05,0.047708225,0.000477608,0.07726092,-1,multi_headed_attention_1/dot_product_attention_1/MatMul_1
TRANSPOSE,726,38272.0,0.0,0.0,0.0,0.0,0.07726092,-1,multi_headed_attention_1/transpose_3
RESHAPE,733,38272.0,0.0,0.0,0.0,0.0,0.07726092,-1,multi_headed_attention_1/Reshape_3
RESHAPE,743,38272.0,0.0,0.0,0.0,0.0,0.07726092,-1,multi_headed_attention_1/dense_9/Tensordot/Reshape;multi_headed_attention_1/Reshape_3
FULLY_CONNECTED,747,76544.0,0.107807934,2.8421067e-05,0.25972435,0.011625183,0.36761177,8,multi_headed_attention_1/dense_9/Tensordot/MatMul1
RESHAPE,751,76544.0,0.0,0.0,0.0,0.0,0.36761177,8,multi_headed_attention_1/dense_9/Tensordot
ADD,755,76544.0,0.02768063,-0.0015223712,0.13692753,0.0007685389,0.3676659,8,multi_headed_attention_1/dense_9/BiasAdd
ADD,759,76544.0,0.111064024,-5.364991e-05,0.19463098,0.012335444,0.38459507,9,add_normalization_3/add
FILL,766,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,add_normalization_3/layer_normalization_3/ones
FILL,770,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,add_normalization_3/layer_normalization_3/zeros
RESHAPE,776,76544.0,0.0,0.0,0.0,0.0,0.38459507,9,add_normalization_3/layer_normalization_3/Reshape
TRANSPOSE,780,76544.0,0.0,0.0,0.0,0.0,0.38459507,9,add_normalization_3/layer_normalization_3/FusedBatchNormV3
MEAN,784,299.0,0.0008347467,-4.318854e-06,0.0015014599,7.347618e-07,0.0028775067,-20,add_normalization_3/layer_normalization_3/FusedBatchNormV31
SQUARED_DIFFERENCE,788,76544.0,2.3784738,-0.70069546,5.5957127,6.153831,10.978168,-128,add_normalization_3/layer_normalization_3/FusedBatchNormV32
MEAN,792,299.0,0.053878773,0.02291241,0.12157151,0.0037843464,0.18455333,-128,add_normalization_3/layer_normalization_3/FusedBatchNormV33
ADD,796,299.0,0.00012981416,-0.00067919906,0.0009627117,4.8838626e-07,0.18455724,-128,add_normalization_3/layer_normalization_3/FusedBatchNormV34
RSQRT,800,299.0,0.0017656692,5.0427898e-05,0.016108757,1.0532969e-05,0.003479838,-128,add_normalization_3/layer_normalization_3/FusedBatchNormV35
MUL,804,299.0,0.0,0.0,0.0,0.0,0.003479838,-128,add_normalization_3/layer_normalization_3/FusedBatchNormV36
MUL,808,76544.0,0.018979255,-2.2508866e-05,0.03512287,0.00036075304,0.06765413,2,add_normalization_3/layer_normalization_3/FusedBatchNormV37
MUL,812,299.0,0.00030689707,1.5583762e-06,0.0005521863,9.539634e-08,0.0010681704,-5,add_normalization_3/layer_normalization_3/FusedBatchNormV38
SUB,816,299.0,1.7447308e-09,-1.3522797e-10,6.9265393e-09,3.539069e-18,0.0010681704,4,add_normalization_3/layer_normalization_3/FusedBatchNormV39
ADD,820,76544.0,0.01946082,-0.0056618927,0.033940256,0.00044930083,0.06788734,2,add_normalization_3/layer_normalization_3/FusedBatchNormV310
TRANSPOSE,824,76544.0,0.0,0.0,0.0,0.0,0.06788734,2,add_normalization_3/layer_normalization_3/FusedBatchNormV311
RESHAPE,828,76544.0,0.0,0.0,0.0,0.0,0.06788734,2,add_normalization_3/layer_normalization_3/Reshape_1
MUL,832,76544.0,0.019237608,-4.6703997e-05,0.042963456,0.00037017392,0.06802922,2,add_normalization_3/layer_normalization_3/mul_3
ADD,836,76544.0,0.017938025,6.8652014e-05,0.03378573,0.00032177754,0.06802922,2,add_normalization_3/layer_normalization_3/add
RESHAPE,847,76544.0,0.0,0.0,0.0,0.0,0.06802922,2,positionwise_feed_forward_1/dense_10/Tensordot/Reshape
